Class Name,Short Description,Long Description,Professor,Area,Keywords,Skills,No of Credits,Core,Offered,Image
Electronics for Artists,,"This hands-on entry level electronics course is for students who want to invent, test, break, imagine, burn, surprise and build unusual interactive objects and devices that have never existed before. You don’t have to be an electrical engineer to be able to hack power and twist it for your own wild experiments. No matter what art/performance mediums you use in your creative practice, there are so many playful and cutting-edge ways to augment your craft with connected devices and computer-assisted fabrication. Some example projects include: interactive installations, moving sculptures, wearable devices for fashion, dynamic lighting, and DIY music devices. The course goes over the basics of electronic circuits and coding for Arduino — programmable micro-computers that process inputs from buttons, biofeedback sensors, and microphones and translate them into outputs expressed through LED lights, sounds, motors, and relays. We use laser cutters, 3D printers, woodworking tools, and sewing machines to assist us, and learn the best practices of creating robust circuits through soldering, component selection, and power supply. Each week we look to contemporary hardware artists for inspiration and use our classmates to test and analyze our prototypes, getting feedback on not just the practical design of the circuits and mechanisms, but the feelings, ideas, and creative effects our connected art elicits. No prior coding, hardware, or fabrication experience necessary, but time and dedication is — most projects will require out-of-class time spent in the shop. Students will need a laptop, but basic hardware and materials will be provided.",August Luhrs ,Emerging Media & Tech,,,4,,Occasionally ,
Performing Voice and Talking Machines,,"This course will introduce students to technologies for speech synthesis and speech recognition from the point of view of performance art. Through weekly assignments and in class lectures, we will explore voice interfaces and their role in technology, design, art, and culture. We will begin with understanding human speech, and then delve into computer speech. We will learn how to program existing technologies such as p5.js to create our own talking machines. The class will research the current limitations and biases of these technologies and models, and respond by leveraging these constraints as ground for performative expression. Students will be required to develop a performative piece as their final project, this could be a live performance, an interactive installation piece, or a performative object or tool. Students are encouraged to bring their interests into the classroom and apply the course into their practice. Prior knowledge of computer programming will be helpful, however, it is not required. NYU is a global community. You are welcome to bring your own language, your accent, and your spoken identity into the class.",Tiri Kananuruk,Emerging Media & Tech,,,4,,Occasionally ,
Occupy Outer Space,,"Technology is a weasel. Squeezing its way into art, culture and the everyday. It infiltrates our psyche, inspiring playful interactions, fantastical ideas, vengeance and drama. It brings us together while tearing us apart. In this project-based studio, we will focus on a collective approach to creating art, tools, performances, and experiences. Outer Space in the context of this course will be used as a metaphor for the future, the unknown, and the seemingly impossible. We will investigate disparate cultural moments and unravel narratives that are both historical and technological. Technology will serve as a structure with open-ended assignments in music, video, sculpture, electronics, kineticism, surveillance, interactive graphics, and performance. Combined collaborative exercises and individual projects will augment classroom discussions and inform the art that we make. A willingness to use your imagination and personal experience to derail preconceived notions of linear timelines will serve you well in this hands-on multidisciplinary course.",,Emerging Media & Tech,,,4,,Occasionally ,
Playful Performance Props,,"In this class, we’ll learn TouchDesigner, a powerful software hub for live audiovisual content, and control it with DIY props and digital interfaces that we’ll build to connect to our art directly from the stage. With a cutting-edge buffet of inputs and outputs at our disposal, what new, evolved, or remixed types of performance can we create? If you’re a musician, you’ll build and play instruments that didn’t exist before. If you’re a dancer, your movements will become the music and visuals, instead of the other way around. If you’re a filmmaker, you’ll shoot a real-life scene with a virtual camera or light a physical set with real-time VFX. If you're a visual artist, you'll warp color, distort images, and push pixels to the brink of destruction. If you’re all of the above, you’ll have fun in this class. To connect to TouchDesigner, we’ll build hardware props using Arduinos, tiny computers that we can hook up sensors, buttons, and LEDs to, and create unique thematic interfaces that augment our performances and interactive installations. Weekly assignments explore AI tools, electronic circuits, fabrication, camera input and livestreams, 3D models and procedural animation, and more. Midway through the semester we'll begin performing live using our connected props for DJ/VJing and projection-mapped interactive spaces, with the class culminating in a final public performance bringing together the best of student work. No previous coding or performance experience necessary. There is a lab fee for the hardware we’ll use to build our devices.",August Luhrs,Emerging Media & Tech,,,4,,Fall,
Virtual Performance and Unreal Interactions,,"What types of performance can we create if we’re not limited to a physical stage or even a physical body? How much more can we communicate with video once our audience has the power to directly interact with the content, not just passively observe? We can create dynamic, digital experiences and innovative, virtual performances using Unreal Engine, a game engine and powerful suite of development tools. Students will learn the fundamentals of Unreal Engine, including 3D environments and assets, lighting, cameras, animations, audio, basic VFX, and programming interactivity using visual scripting blueprints. Then, we will incorporate external hardware such as depth cameras, LiDAR scanners, and motion capture suits to create our own digital assets, including virtual avatars of ourselves. Students will use this foundation in virtual production to create projects ranging from 3D music videos to choose-your-own-adventure memoirs to. Performances with puppet avatars in an online 3D environment. The final assignment will be a part of a public show.",August Luhrs,Emerging Media & Tech,,,4,,Fall/Spring,
Experiments in Collective Joy,,"How do ants or bees organize on a mass scale when their individual brains are incapable of understanding the bigger systems they’re creating together? How did a Twitch hive-mind of 1.2 million people beat Pokémon one collective move at a time? How do we make art that makes us and our audience feel more connected, more alive, more powerful? This hands-on project studio course is about making art where participants are the medium, and the masterpiece created exists inside and between them. Let’s explore community and its connection to transformational, radical joy — not complacent happiness, but a joy that is the feeling of power, agency, and capacity growing within us and within the people around us as we cooperate to overcome shared challenges. Which systems and forms of art, play, and expression foster that kind of joy? 

This course is heavy on imagination, vulnerability, reading, discussion, experimentation, playtesting, and interactive group activities. Each week explores the relationship of the individual to the group under various lenses and spheres of life (i.e. politics, religion, activism, evolutionary biology, sociology, pleasure, the universe, sports, games, childhood, etc.). Then together, we break down the relationships, dynamics, and effects those systems have, and create multi-media prototypes and performance experiments inspired by these themes and ideas. The early assignments are solo, and then almost all assignments are in groups. The core process of the class uses iterative game design as a structure for ideating, creating, playtesting, and refining, though students are welcome to work in any medium they choose, so long as the goal is to explore themes of collective joy.",August Luhrs ,Emerging Media & Tech,,,4,,Spring,
Collaborative Screenwriting: Writers’ Room,,"Always thought you had that perfect concept for a streaming TV show? Curious about what makes those shows tick, and to see if you have what it takes to collaborate on a show that works? Focused on the development of the half-hour streaming ‘prestige' TV series, Writers’ Room is an Intermediate and Collaborative TV Screenwriting class that addresses the latest forms of shows that sell, on the platforms that dominate the market. Shows like The Mandalorian, Ted Lasso and The Bear are 'binge-worthy' because along with dynamic stand-alone episodes they present connected dramatic arcs stretching over seasons. Often these shows are developed with multiple writers, in a format known as the 'Writers’ Room.' Along with conceptualizing a show, the class is intended as a practicum in collaboration, modeling the Writers Room to prepare the future screenwriter for one of the central forms of commercial storytelling. In this class we will cover what it actually takes to break into TV writing and create a roadmap to developing not only a great TV episode but conceptualizing its entire first season. What will sell great show? Great premises, fulsome outlines, dynamic pitches, engaging decks, etc. Next: how to 'break' episodes and build provocative story arcs? Students will emerge with a group-conceptualized deck for an original show as well as that show’s original pilot--all done in the form of a structured workshop environment, with the last half of the class modeling the writers room. Our main texts are current shows that fit within this context and we will 'visit' at least one actual writers room for real world experience. Note: this is a rigorous, collaborative class that requires significant out-of-class meetups with your group colleagues, so please be aware of the time commitment.",Anthony Weintraub,Text,,,4,,Spring,
Writing Your Life,,"If autobiography is a retelling of the events of your life from beginning to end, then memoir—from the French for “to remember”—is an examination of some events of your life through a particular frame. We tell stories drawn from our lives all the time, but we sometimes fail to consider the themes and ideas that connect those stories with themselves and with each other; that failure robs us in turn of the opportunity to understand better both the world and ourselves. Each week of this course you’ll both read and write thoughtful memoir; by the end of the semester, you’ll be able to write reflectively about your own past, examining not just the stories you tell about your life but also those stories’ deeper meanings, their part in shaping your identity, and their echoes in your present and your future.",Joel Derfner ,Text,,,4,,Spring,
Auto Performance Lab,,"This is a creative workshop designed for playwrights who yearn to act and actors who have an itch to write. Using one’s self as material, participants create a short solo performance for an end-of-semester presentation. The lab combines physical work (both group and solo) with in-class/out-of-class writing exercises aimed at enhancing students’ capacities to transform the stuff of their real lives into mimetic fiction. The final composition may stand alone as a finished, self-contained piece or may be an extended monologue planned as part of a full- length play, given the creator’s primary interest (solo-performance vs. playwriting). In-class exercises, group critiques (though the instructor prefers the word “responses”) as well as analysis of other artists’ solo performances are used to shape students’ final compositions.",Steven Drukman,Text,,,4,,Fall,
Intermediate Screenwriting,,"A continuation of the training presented in Fundamentals of Developing the Screenplay. Required work in the class includes extensive scene work. Guided by their screenwriting instructor, students will complete the screenplay begun in Fundamentals of Developing the Screenplay and then do a rewrite or they may begin, complete, and rewrite a new full-length screenplay. The focus in this class will be on story structure and development and the completion of a full-length screenplay. If you plan to do a new work, you must come to the first class with three ideas for full-length screenplays. Each idea can be described in one or two paragraphs.",Alana Sanko or Charlie Schulman,Text,,,3,,Fall/Spring,
The Art of Adaptation,,"From Shakespeare’s era to the present day, writers and other artists have created new works by using other art-forms as source material. This practice is especially true for film and television, where the source material can come from a novel or play, a video game or comic book, an historical event or even a blog or trashy headline.

We will explore a variety of practices in the art of adaptation--as it relates to movies and TV--and apply them to an adaptation that students will develop over the course of the semester, resulting in a treatment for a film or television show. Through case studies, exercises and in-class discussion, we will refine and develop students’ work to its greatest potential. We will compare early drafts of award-winning screenplays with their original source material and the final shooting scripts, hopefully gaining insight into the iterative process of adaptation and the challenges and creative insights that the filmmakers discovered along the way. We'll also explore practical issues like options, rights, collaborations, intellectual property laws and licenses, etc.",Hardy Justice ,Text,,,4,,Spring,
Writing The TV Sitcom,,"Adapted from the Dramatic Writing Program’s popular “Introduction to the Sitcom” course, this intensive scriptwriting class answers the question, “What do I need to break into TV writing?” – the student will be guided through the step-by-step development of an episode for an ongoing TV sitcom, from premise line to one-page outline, to pages and revisions. The course will require the completion of a polished draft while introducing students to the rigors of professional standards through weekly story goals.", Don Demaio,Text,,,4,,Fall,
Zine Scenes,,"Before the internet artists and enthusiasts found their communities through self-publishing niche small-circulation magazines, usually without profit, with a burning desire to communicate. We’ll discuss the continued relevancy of the culture as we look at zines scenes from the past. For each scene, we’ll have an “object lesson” in which we dissect historical zines with an eye on form, content, aesthetic, publisher motives, and technology required for production. Then we’ll make our own! We’ll learn about historical zine making methods by making our own small-run zines in the same fashion to circulate within class. In addition to this tactile learning, you’ll produce a small body of work and gain an instant collection from your peers.",Gabe Fowler ,Visual Art,,,4,,Spring,
Hyper Object,,"The object, in reality, is anything but inert - it is hyperactive, changing in function and meaning as it moves in time and space. This studio-based course will give students the tools to use objects and materials specifically and deliberately in their work. The course will link intuitive making with research, allowing students to investigate their genuine and unique interests and develop their conceptual goals. During the course of the semester, students will be exposed to a wide range of non-traditional objects and materials that have been employed by artists throughout history. Readings and viewings will supplement the work done in the studio, with four themed sections serving as guided warm ups for a final project of the students’ own direction. These sections are titled: The Other, The Icon, The Minuscule, The Massive. Each student will make a work based on each theme, and group critiques will function as a laboratory in which students can test theories on display, context, form and legibility. This course is best suited to those with an interest in nontraditional art materials, collage, and found objects. Prior experience in sculpture or painting will be particularly helpful, however, it is not required.",Kari Cholnoky,Visual Art,,,4,,Fall,
The Softness of Things,,"Through a series of lectures and weekly prompts, this hands-on course introduces a methodology that facilitates the process from thinking to making. Softness is used as both a theoretical and material framework that asks students to rethink the edges of the real and to to engage with structures, organizations, materials  and relationships as malleable, fluid, and open to transformation.  Students are introduced to foundational concepts through a wide range of examples and readings, and are invited to critically reflect on how these concepts inform and guide their own practice and creative journey.  The weekly assignments are meant to help students become comfortable with a variety of techniques and making practices, and in a rapid, playful and experimental manner engage with ideas in an embodied and enacted way.  Given that they have a week to complete each assignment, the goal is to help students delve into the core and essential properties of each concept and find ways to express and explore them in their work. The cadence of the lectures and survey of a wide range of artistic practices aims to expose students to different approaches to making, and importantly help them understand how theory and practice are not separate realms but indeed intertwined.",Despina Papadapoulos,Visual Art,,,4,,NEW FALL 2023,
Experimental RISO,,"The death of printed matter has been predicted for more than half a century. Meanwhile, artists have been busy continually proving that print media—and the nimble RISO, in particular—offers vital new possibilities for experimentation. With a capacity to layer pure spot color, like silkscreen, and output quickly, like digital processes, the Risograph duplicator has revolutionized visual culture over the past decade. RISO aesthetics have made their way into animation and film, into mainstream digital design culture, and has flooded independent art book publishing. Because the process engages and serves niche communities of artists, it has given voice to groups traditionally excluded from mainstream publishing. It is the machine largely responsible for the thriving, international small press movement, which challenges both the traditional scarcity-based economy of the art market, and the myth of the lone artist. Experimental RISO will take this spirit as a starting point, as our class works together as a small community to push the RISO into more experimental territory. We will explore a myriad of “off label” uses for RISO printmaking. We will design non-digital publications using exquisite corpse methods and learn how to translate film and animation into RISO. Avant-garde publishing has a long history of cutting through the so-called dichotomy between paper and electronics, so we will use conditional design “codes” to design programmatically. We will investigate the RISO’s potential to produce performance-based art—looking to Bruno Munari and Victorian Troublewit performance for possible inroads.",Kelli Anderson,Visual Art,,,4,,NEW FALL 2023,
Artwear,,"This course will examine the overlaps between art, fashion, and theater as well as the way garments become activated. Students will consider what their roles are beyond consumers, as makers and wearers. This is a studio-based course that will introduce students to different ways of repurposing and reusing textiles found in the home through mending, dyeing techniques, sewing, and patternmaking. No prior experience in sewing is needed. There will be a strong emphasis on using non-traditional materials. Each method will be introduced through demonstrations and reinforced through assignments which include making a soft sculpture to wear, recreating an object/garment from a movie, making a costume that also functions as a set for one person, and creating an expandable piece. The class will cover different themes: storytelling, soft sculpture, color, activism and live performance. Lectures will introduce the work of artists and designers: Lee Bul, Leigh Bowery, Alexander Mcqueen, Franz Erhard Walther, Pat Olezko, Iris Van Herpen, The Cockettes, Piero Gilardi, and others who incorporate materiality and costume making as a way of expressing their creativity and ideals. Reading and viewings will be supplemented with updates on current designers collections and innovations in the field. Group critiques will function as a design laboratory, a place to share with their colleagues and get feedback for future pieces.",Flo Escudero ,Visual Art,,,4,,NEW SPRING 2024,
Bodies in Cultural Landscapes,,"This course examines the Western fascination with the moving body in different cultural environments and throughout colonial and postcolonial historical periods until the present time. It will begin by investigating early images and artistic representation of the body in motion captured by European ethnographers at the turn of the 19th century, and continue tracing it to current trends of contemporary culture. The goal of this course is to develop a critical understanding of the culture built around the body as subject as well as a marker of otherness. This course will offer students an opportunity to study and articulate, intellectually and physically, the legibility of bodies in motion within different cultural landscapes. Bodies in Cultural Landscapes will provide an open forum in which to investigate human movement within the specific aesthetic system and cultural practice of early ethnographic representation to contemporary culture’s engagement with the moving body. It will offer insight into personal and cultural identity, stimulating an expanded recognition and appreciation of difference. This course offers students the opportunity to explore simultaneously their intellect (in class viewing, readings and discussions), as well as in the presentation of their own version of ethnographic research and representation based on a topic of their choice discussed with the instructor. Students will engage weekly with exercises and assignments based on course material.",Patricia Hoffbauer,Studies (Research),,,4,,Fall,
Live in New York City,,"We will explore the tension between the live and the scripted, the performed and the texted--almost entirely in the field of theatre but also in some other genres of performed events. A series of productions will be carefully curated to see different artists' renderings of these two aspects of the live event, and we will sustain an interest in other dualities, including the tension between the virtual and the real, the rehearsed and the improvised, etc.",Steven Drukman,Studies (Research),,,4,,NEW FALL 2023,
Abrupt Climate Change,,"Combining science and the art of storytelling, this course will tackle one of the most pressing issues facing the future of humanity: Abrupt Climate Change. In a unique collaboration with NYU physical climate scientist Professor David Holland, students will research and create work that bridges the divide between science and the public through accurate, creative science-based storytelling. This highly multidisciplinary, hands-on course welcomes students from all backgrounds and fields of study to imagine and invent creative ways of telling stories about this global phenomenon and to investigate solutions. Weekly assignments will lead to a final collaborative project and an exhibition open to the public.",Peter Terezakis,Studies (Research),,,4,,Fall/Spring,
Art on the Edge,,"Taking off from the practices of medium-based art categories, this course is structured across key topics in contemporary art - “art of today, produced by artists who are living in the twenty-first century”. During the semester, via the framework of readings, projects and assignments, we will consider the importance of the visual arts in the larger context of society. Each week we will look at a different topic, which will be organized around key concepts, artists and artwork examples. The main goal is to allow us to contemplate the process of interaction between visual art, history, cultural, socio-economical, and technological forces. The stress of our gatherings will be on the artist as a thinker and a maker.",Gustavo Aguilar,Studies (Research),,,4,,Spring,
Multi-disciplinary Arts Practice with Community Groups,,"Whether you are a filmmaker looking to better understand how to build a cohesive and productive film crew; a theatre maker excited about building a performance project or theatre company; a multi-media artist looking for ways to innovate your ideas for artistic work in collaboration with others; an artist looking for tools for building an artistic ensemble, or a multi-disciplinary artist looking to take your creative work out into communities as social practice, this combination lecture/activity-based class provides you with tools for better understanding how to enter into and engage others in collective creative work of purpose.
Multi-Disciplinary Arts Practice with Community Groups: Theories and Practice explores the challenges and benefits of making artistic work with others and the tools needed to create meaningful collaborative projects. In this class we interrogate definitions of community and group, explore the balance between group process and producing an artistically excellent project, and examine the processes of creating artistic work with others to strengthen our own artistic voices while helping raise the creative voices of others. With its focus on social practice, this course provides a foundation for working with small group structures in a variety of community settings and professional creative work environments. The course satisfies a CA major requirement as well as a social science requirement for all other Tisch students.",Mary Bitel,Studies (Research),,,4,,Fall/Spring,
Knowledge Systems: The Poetic and The Algorithmic,,"Knowledge Systems: The Poetic and the Algorithmic introduces students to a series of critical texts and art practices and invites them to adopt a similarly critical approach to their own work. With texts ranging from 1st century BCE to today, the course through weekly prompts, in class discussion and a deep reading, examines non-dualistic thought and the role of emotion, the sensual and performativity in the making of the world and art. Instances of such non-dualistic thought in art, science, philosophy, and craft are looked at as a way to question established knowledge systems and propose new futures. Non-dualistic thought is approached here as a way to escape established binaries and create a space that goes beyond good/bad, right/wrong and instead invites multiplicity and a wide range of perspectives and voices. Starting with Mallarmé’s seminal poem, “A Throw of the Dice Will Never Abolish Chance,” and concluding with Muñoz’s essay “Feeling Utopia” from his book Cruising Utopia, where he opens with Oscar Wilde’s quote: “a map of the world that does not include utopia is not worth glancing at,” the course challenges students to “feel hope and to feel utopia” as a form of resistance to established dystopian narratives. In particular the course approaches artificial intelligence as a non-plural contemporary knowledge system and asks students to reflect on the world view that technical systems establish. Following such reflections, the course urges students to explore ways to counter monolithic systems by engaging with uncertainty, the poetic and embodied interactions.",Despina Papadopoulos,Studies (Research),,,4,,NEW SPRING 2024,
The Softness of Things,,"Through a series of lectures and weekly prompts, this hands-on course introduces a methodology that facilitates the process from thinking to making. Softness is used as both a theoretical and material framework that asks students to rethink the edges of the real and to to engage with structures, organizations, materials  and relationships as malleable, fluid, and open to transformation.  Students are introduced to foundational concepts through a wide range of examples and readings, and are invited to critically reflect on how these concepts inform and guide their own practice and creative journey.  The weekly assignments are meant to help students become comfortable with a variety of techniques and making practices, and in a rapid, playful and experimental manner engage with ideas in an embodied and enacted way.  Given that they have a week to complete each assignment, the goal is to help students delve into the core and essential properties of each concept and find ways to express and explore them in their work. The cadence of the lectures and survey of a wide range of artistic practices aims to expose students to different approaches to making, and importantly help them understand how theory and practice are not separate realms but indeed intertwined.",Despina Papadopoulos,Studies (Research),,,4,,NEW FALL 2023,
Producing Essentials,,"The role of the creative producer in the entertainment industry is integral to bringing a project to fruition. This introductory course covers both the creative and physical production time-line and provides students with an understanding of the producer's role through a semester-long team-based pitch project, which culminates in written and verbal pitch presentations. Students are encouraged to work on a project that best suits their area of interest: feature film, episodic/streaming, theatre, performance, podcasts, VR/AR or individualized multi-media. The course focuses on the dynamics of producing, including producer skill sets, tasks and responsibilities necessary to effectively and efficiently develop a project.",Rich Perello and Sharon Badal ,Studies (Research),,,4,,Fall/Spring,
Art Palace,,"Art Palace is a series of weekly talks/events presented by working artists with noteworthy careers in the greater New York area. Students will be introduced to a disparate variety of multi- and inter-disciplinary practitioners, allowing students to listen to, learn from and - in many cases - collaborate with visiting artists. Art Palace is required of all incoming students in their first semester, however each evening’s event is open to all Collaborative Arts majors who would like to participate.",Despina Papadopoulos,Core,,,,YES,,
Words and Ideas,,"This is a 7-week lecture class, introducing new multi-disciplinary practitioners to the central ideas of their chosen careers. Topics will include: Mimesis, Representation, Genre, The Art Object, Subjectivity, Taste, Humor, Sensibility...to name a few. Where does the impulse for art come from? Can art change society or does it reflect society? Why do we do art and how do we know whether it's any good? Key definitions of terms career artists must know will be introduced in WORDS AND IDEAS, helping students form (and fully understand) their own creative strategies in undertaking future art projects. While the class is not, strictly speaking, an art history seminar, major historical movements will be touched on to illustrate the ideas under discussion every week.",Steven Drukman,Core,,,,YES,,
Cimematic Narratives,,"Filmmaking, photography, and the basics of visual imagery are explored through a hands-on studio art experience, which provides an overview of the development of visual storytelling throughout history. From the first creation of early hand drawn cave paintings to modern film production, the essential elements of visual representation, visual imagery, visual grammar, and visual narrative are explored. Lectures introduce and explain a variety of methods used to capture a visual image and how imagery, both with and without words, is used to convey meaning. In class painting, etching, drawing, film, and photo assignments are given for students to create their own visual imagery, using these several different artistic formats. Technical training on cameras and editing software accompanies these practical assignments. Students also complete photo and short film projects throughout the course, as they explore the essential nature of visual storytelling, pre-visualization, and practical production. The course examines how the basic tools of traditional narrative storytelling are also used in purely visual storytelling - to create a secondary world and to maintain a suspension of disbelief in order to inform, entertain, and affect the audience. ",Bill Tunnicliffe and Rebecca Haimowitz,Core,,,,YES,,
Performance: Body / Movement,,"In this section of the Performance Practices set, students will address explorations of space and time, presence, working with objects, composition and various improvisational structures. During the semester students and performance faculty will work with ideas from artists who have significantly informed the development of 20th century and early 21st century performance practices. For the first half the semester, students focus solely on body and movement, while in the second half of the semester students engage in co-taught sessions that blend text and movement to discover and deepen the connection between the body, the voice, text and imagination.",Pat Hoffbauer and Kate Fisher,Core,,,,YES,,
Studio Art,,"In this studio-intensive course students engage in an investigation of subject matter, sources, and strategies for generating work. Experimentation is encouraged and there are frequent class critiques. This course encourages students to build an index of visual ideas through the development of a habitual and generative drawing practice. Students will experiment with both image and mark making and will look to historical and contemporary approaches as touchstones for their practices. Course will include group critiques, one- on-one meetings, visiting artists, lectures, and field trips.", Stuart Lorimer and Kari Cholnoky,Core,,,,YES,,
Music for Media,,"This course is designed to introduce students to the fundamentals of music production and sound engineering in support of the Collaborative Arts interdisciplinary core curriculum. Using Abelton Live, students will be introduced to songwriting, song form and analysis, chord structure, sound design, rhythm, audio/MIDI editing, and mixing techniques. Throughout the semester students will collaborate on projects and in-class assignments by composing and performing music for a variety of mediums and applications.",Josie Carrero and Jason Snell,Core,,,,YES,,
Making a Scene (Playwriting),,"This hands-on practicum teaches students the basic parameters of story structure and dramatic writing for live performance. We will examine various conventions of dramatic storytelling for the stage, such as dialogue, character, delivering exposition, etc. Class lectures will discuss the components of a drama, and class exercises will help students generate material for a 2-person ""realistic"" live scene, lasting approximately 5-10 minutes of stage time. Students will also learn how to give and receive critiques. This live scene can be either “stand-alone” or part of a larger multi-disciplinary art project for later work in a student’s career at Collaborative Arts.","teven Drukman, Laurence Klavan, and Rogelio Martinez",Core,,,,YES,,
Making a Scene (Screenwriting),,"This hands-on practicum teaches students the basic parameters of story structure and dramatic writing for a short film. We will examine various conventions of screenplay storytelling such as format, structure, plot, character development, visualization and film language. Class lectures will discuss basic components of the screenplay, with reading and writing assignments helping to generate a scene lasting approximately 5-10 minutes of screen time. Students will also learn how to give and receive critiques. This short film can be either “stand-alone” or part of a larger multi-disciplinary art project for later work in a student’s career at Collaborative Arts.",Deborah Goodwin and Alana Sanko,Core,,,,,,
Performance: Voice / Text,,"In this section of the Performance Practices set, students will address explorations of space and time, presence, working with objects, composition and various improvisational structures. During the semester students and performance faculty will work with ideas from artists who have significantly informed the development of 20th century and early 21st century performance practices. For the first half the semester, students focus solely on body and movement, while in the second half of the semester students engage in co-taught sessions that blend text and movement to discover and deepen the connection between the body, the voice, text and imagination.",Fritz Ertl,Core,,,,YES,,
Tech in Action,,"Our collective intuition and imagination are more powerful than computer programs, yet paired with software, digital media, and online networks, our wildest dreams can become real. By understanding the fundamentals of digital tools, our DIY sensibilities, artistic practices, and social experiments can be transformative, even revolutionary. With algorithms surveilling and dictating our culture, it is crucial to learn and harness digital technologies for independent expression. In this hands-on introductory course, we will learn to utilize tools for creating musical and visual experiments, playful interactions and games, and emerging media discourse. Students will work independently and collaboratively to create and produce music and sound collages, computer graphics and animation, internet art, videos and performances. Collaborators from different fields of study will be encouraged to incorporate their individual interests and expertise.",Ithai Benjamin,Core,,,,YES,,
Jam House,,"Conducted every semester, Jam House is a 2-day intensive offered for credit to all Collaborative Arts Majors. Students assemble to brainstorm unique experiential and collaborative works culminating in final presentations, projects and performances. Designed to function as a platform for experimentation and play, the workshop allows students to test ideas in an open, supportive yet critical environment with an emphasis on interdisciplinary art and a focused attention to the creative process. Every workshop begins with a visiting guest artist presenting their work, followed by Q&A and discussions. Students then form groups and create a collaborative work in any medium (or many) inspired or loosely informed by the ideas or themes presented by the artist.",Guest Artist,Core,,,,,,
Body Library,,"""Following a year of exploring course electives in your second year, Body Library brings you back to create original work together in the ever expanding circle that is the Collaborative Arts Interdisciplinary Experience. Like Art Palace (3 hrs) and Jam house (48 hrs), Body Library (14 weeks) embodies the principles and vision of Collaborative Arts, asking you to: participate, observe, invent, create, and respond.",Guest Artist,Core,,,,,,
Capstone,,"CA Capstone is an opportunity for graduating students to produce original interdisciplinary works of art that allow them to reflect and expand on their practice, skills, knowledge and insights they have gathered during their time at Collaborative Arts. While the works can take any form, we encourage collaborative projects and expect a collaborative process. Students as a group will be responsible for curating a final group show that brings all their work together into a cohesive narrative and engaging community experience. Throughout the semester students will compose and give feedback to each other’s individual artist statements and project “maps”, produce a curatorial statement, press-release, and invitation for the show. Works in the show should reflect the artist's playfulness, experimentation, curiosity, openness, originality and mastery of the tools employed. Agility in reason, intellectual rigor, attention to detail, contextualization, references and documentation - as well as final presentation - will all be important aspects of how the work will be assessed and evaluated. The class will be a combination of in-class workshops, review of weekly assignments, critique of work in progress, guest lectures, 1-on-1 sessions, and art outings. ",Despina Paapdopoulos & Rebecca Haimowitz,Core,,,,,,
